Cliente ID,Número de Compras,Cluster
2296.0,968,1
1096.0,894,1
4651.0,881,1
1726.0,865,1
1372.0,856,1
2800.0,851,1
2846.0,843,1
3813.0,822,1
450.0,816,1
4757.0,810,1
3228.0,674,1
1189.0,671,1
125.0,654,1
295.0,619,1
1961.0,612,1
5195.0,606,1
4780.0,579,1
563.0,574,1
3224.0,567,1
4635.0,567,1
223.0,556,1
14.0,552,1
1117.0,548,1
455.0,547,1
3067.0,539,1
791.0,496,1
2862.0,485,1
3499.0,484,1
2068.0,484,1
3264.0,484,1
1296.0,484,1
3938.0,483,1
2761.0,474,1
1101.0,468,1
4099.0,462,1
2000.0,462,1
2608.0,432,1
3121.0,426,1
308.0,425,1
1248.0,420,1
2204.0,419,1
4179.0,416,1
2109.0,415,1
4562.0,411,1
4736.0,410,1
1391.0,409,1
496.0,408,1
2396.0,405,1
2720.0,403,1
2962.0,397,1
669.0,377,1
1514.0,373,1
1715.0,373,1
410.0,373,1
1402.0,367,1
4412.0,366,1
2002.0,361,1
5064.0,354,1
5142.0,354,1
4891.0,352,1
4674.0,351,1
3234.0,350,1
3261.0,315,1
378.0,314,1
2852.0,311,1
3865.0,308,1
1856.0,307,1
834.0,306,1
2595.0,301,1
3792.0,296,1
3799.0,295,1
4196.0,248,2
3918.0,247,2
961.0,246,2
85.0,237,2
2402.0,237,2
3875.0,229,2
1287.0,229,2
2330.0,194,2
2547.0,189,2
2616.0,185,2
2377.0,180,2
1271.0,178,2
4247.0,178,2
946.0,176,2
3472.0,152,2
25.0,150,2
657.0,149,2
2965.0,149,2
4415.0,145,2
4913.0,144,2
3739.0,142,2
3612.0,142,2
740.0,138,2
2478.0,137,2
4429.0,136,2
1041.0,135,2
3598.0,135,2
4506.0,132,2
4443.0,131,2
2324.0,130,2
3190.0,128,2
993.0,128,2
487.0,126,2
4311.0,124,2
5008.0,124,2
3990.0,123,2
996.0,122,2
105.0,122,2
3073.0,121,2
899.0,121,2
4616.0,121,2
4666.0,120,2
5077.0,120,2
